D_code,D_name,P_code,P_name,pb_pru2018,pb_prn2021,pb_prn2022,areas_kmsf,lokaliti_count,demo_category,pb.total,age_group|b20,age_group|20s,age_group|30s,age_group|40s,age_group|50s,age_group|60s,age_group|70s,age_group|80s,age_group|o90,ethnic|bidayuh,ethnic|cina,ethnic|iban,ethnic|lain_lain,ethnic|melayu_melanau,ethnic|orang_ulu,pemilih|awam,pemilih|tentera,pemilih|polis,pemilih|luarnegara,gender|lelaki_count,gender|lelaki_pct,gender|perempuan_count,gender|perempuan_pct
N01,OPAR,P192, MAS GADING,"11,256","11,436","18,525",1010,22,RURAL,"18,525","1,251","4,200","3,756","3,268","2,996","1,868",912,217,57,14234,1340,1918,98,712,225,"18,524",0,0,1,"9,378",50.62,"9,147",49.38
N02,TASIK BIRU,P192, MAS GADING,"18,361","18,715","28,646",471,26,RURAL/SUBURBAN,"28,646","1,803","5,920","5,452","4,746","4,902","3,470","1,631",585,137,18455,6702,1100,229,1883,294,"27,996",501,149,0,"14,808",51.69,"13,838",48.31
N03,TANJONG DATU,P193, SANTUBONG,"11,413","11,384","16,081",905,15,RURAL/SUBURBAN,"16,081","1,028","3,398","3,307","2,703","2,536","1,835",916,291,67,1629,2869,2832,119,8549,128,"15,947",45,88,1,"8,090",50.31,"7,991",49.69
N04,PANTAI DAMAI,P193, SANTUBONG,"19,678","20,506","37,841",373,12,SUBURBAN,"37,841","3,476","10,263","8,027","6,381","4,937","3,029","1,317",344,67,896,1065,2069,262,33263,199,"37,811",0,28,2,"18,541",49,"19,300",51
N05,DEMAK LAUT,P193, SANTUBONG,"14,537","14,813","25,618",223,11,SUBURBAN,"25,618","2,024","6,304","5,946","4,385","3,483","2,175",962,266,73,573,2355,935,255,21368,123,"25,618",0,0,0,"12,774",49.86,"12,844",50.14
N06,TUPONG,P194, PETRA JAYA,"23,908","26,004","51,773",99,9,SUBURBAN,"51,773","4,360","14,055","12,194","8,378","6,482","4,099","1,667",446,92,3881,9852,5254,2004,30266,425,"51,728",0,37,8,"25,504",49.26,"26,269",50.74
N07,SAMARIANG,P194, PETRA JAYA,"19,946","21,363","37,898",17,8,URBAN,"37,898","2,874","8,916","9,113","6,729","5,106","3,291","1,443",359,67,759,586,2219,428,33605,238,"37,888",0,4,6,"18,393",48.53,"19,505",51.47
N08,SATOK,P194, PETRA JAYA,"14,071","14,314","20,138",10,8,URBAN,"20,138",964,"3,228","3,567","3,524","3,648","2,813","1,582",628,184,603,4253,1023,380,13792,169,"19,255",0,878,5,"9,950",49.41,"10,188",50.59
N09,PADUNGAN,P195, BANDAR KUCHING,"21,957","20,949","25,043",6,13,URBAN,"25,043",520,"1,714","2,550","3,506","4,883","6,060","3,984","1,444",382,378,22538,472,321,1414,104,"24,770",0,271,2,"12,151",48.52,"12,892",51.48
N10,PENDING,P195, BANDAR KUCHING,"30,498","29,747","38,375",14,7,URBAN,"38,375","1,152","4,323","5,882","6,783","7,496","7,542","3,713","1,185",299,975,33656,1370,263,2140,179,"37,576",38,758,3,"18,912",49.28,"19,463",50.72
N11,BATU LINTANG,P195, BANDAR KUCHING,"29,401","29,694","46,292",15,11,URBAN,"46,292","2,178","7,783","9,120","8,423","7,453","6,187","3,480","1,331",337,1865,37763,3618,865,1917,354,"46,200",0,81,11,"22,288",48.15,"24,004",51.85
N12,KOTA SENTOSA,P196, STAMPIN,"27,463","28,392","45,712",35,6,URBAN,"45,712","2,599","9,735","11,088","8,771","5,882","4,606","2,241",657,133,2415,33425,4557,460,4385,430,"43,260","2,349",95,8,"23,429",51.25,"22,283",48.75
N13,BATU KITANG,P196, STAMPIN,"19,351","20,820","37,250",80,5,SUBURBAN,"37,250","2,699","8,393","8,061","6,878","5,293","3,521","1,739",537,129,5869,19834,3076,803,7347,318,"37,231",0,12,7,"18,657",50.09,"18,593",49.91
N14,BATU KAWAH,P196, STAMPIN,"19,426","20,681","38,047",79,5,URBAN,"38,047","2,897","8,750","8,787","7,601","4,914","3,096","1,522",409,71,4105,21202,5538,689,6016,450,"36,998",0,"1,043",6,"19,100",50.2,"18,947",49.8
N15,ASAJAYA,P197, KOTA SAMARAHAN,"12,451","12,349","18,439",246,19,RURAL,"18,439","1,299","3,829","4,060","3,226","2,727","1,914",989,314,81,156,1732,1684,78,14754,61,"18,429",0,10,0,"9,132",49.53,"9,307",50.47
